City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Vilkaviskis,LT,2022-04-28 03:01:12,54.6517,23.0322,32.63,61,99,4.52
200,Coquimbo,CL,2022-04-28 02:59:59,-29.9533,-71.3436,60.53,77,0,10.36
201,Lagoa,PT,2022-04-28 03:01:13,39.05,-27.9833,62.47,94,100,32.5
202,Chuy,UY,2022-04-28 03:01:13,-33.6971,-53.4616,57.02,90,0,4.45
203,Osa,RU,2022-04-28 03:01:14,57.2829,55.4567,56.95,82,100,15.79
204,Fairbanks,US,2022-04-28 03:00:00,64.8378,-147.7164,48.49,81,85,5.7
205,Buta,CD,2022-04-28 03:01:15,2.7858,24.73,69.49,100,100,2.04
206,Chapais,CA,2022-04-28 03:01:16,49.7834,-74.8492,22.35,83,8,11.83
207,Banepa,NP,2022-04-28 03:01:16,27.6298,85.5214,71.92,56,20,0.0
208,Puerto Colombia,CO,2022-04-28 03:01:17,10.9878,-74.9547,80.38,82,100,23.76
209,Dingle,PH,2022-04-28 03:01:17,10.9995,122.6711,84.79,72,100,11.18
210,Qasigiannguit,GL,2022-04-28 03:01:18,68.8193,-51.1922,32.25,84,100,9.33
211,Carovigno,IT,2022-04-28 03:01:19,40.708,17.655,59.59,79,7,19.46
212,Vostok,RU,2022-04-28 03:01:19,46.4856,135.8833,41.27,52,61,13.76
213,Kembe,CF,2022-04-28 03:01:20,4.6228,21.8865,68.59,91,100,2.21
214,Portland,US,2022-04-28 02:56:32,45.5234,-122.6762,53.62,71,99,5.01
215,Yumen,CN,2022-04-28 03:01:22,40.2833,97.2,56.91,32,100,10.74
216,Kavaratti,IN,2022-04-28 03:01:22,10.5669,72.642,84.88,74,86,3.58
217,Ust-Maya,RU,2022-04-28 03:01:23,60.4167,134.5333,35.01,57,77,10.47
218,Leh,IN,2022-04-28 03:01:23,34.1667,77.5833,44.51,49,0,4.52
219,Port Hardy,CA,2022-04-28 03:01:24,50.6996,-127.4199,43.84,84,97,2.91
220,Tuktoyaktuk,CA,2022-04-28 03:01:24,69.4541,-133.0374,13.42,92,100,5.26
221,Albanel,CA,2022-04-28 02:57:24,48.8832,-72.4487,33.94,69,97,8.05
222,Comodoro Rivadavia,AR,2022-04-28 03:00:01,-45.8667,-67.5,44.08,52,66,18.88
223,Cooma,AU,2022-04-28 03:01:30,-36.2333,149.1333,65.62,58,100,8.3
224,Port Blair,IN,2022-04-28 03:01:31,11.6667,92.75,84.24,84,40,2.3
225,Melo,UY,2022-04-28 03:01:31,-32.3667,-54.1833,60.03,97,44,8.32
226,Cairns,AU,2022-04-28 02:58:12,-16.9167,145.7667,88.11,69,75,11.5
227,Panjab,AF,2022-04-28 03:01:32,34.388,67.0233,54.79,49,100,1.05
228,Obo,CF,2022-04-28 03:01:32,5.3998,26.4869,68.45,98,100,3.53
229,Odienne,CI,2022-04-28 03:01:33,9.51,-7.5692,77.67,65,71,3.58
230,Saint George,US,2022-04-28 02:59:54,37.1041,-113.5841,78.26,14,80,9.31
231,Tuburan,PH,2022-04-28 03:01:33,6.6439,122.2736,81.3,82,100,10.45
232,Dharchula,IN,2022-04-28 03:01:34,29.85,80.5333,82.58,20,0,4.68
233,Shar,KZ,2022-04-28 03:01:34,49.5886,81.0453,58.05,36,0,1.77
234,Kota Belud,MY,2022-04-28 03:01:35,6.351,116.4305,76.8,90,100,2.1
235,Nuuk,GL,2022-04-28 03:01:35,64.1835,-51.7216,34.41,100,100,35.01
236,Victoria,HK,2022-04-28 02:59:32,22.2855,114.1577,86.05,83,21,7.0
237,Masallatah,LY,2022-04-28 03:01:36,32.6167,14.0,62.2,69,100,13.56
238,Mayor Pablo Lagerenza,PY,2022-04-28 03:01:36,-19.9309,-60.7718,85.66,45,3,10.07
239,Mount Gambier,AU,2022-04-28 03:01:37,-37.8333,140.7667,74.77,47,69,9.75
240,Maun,BW,2022-04-28 03:01:37,-19.9833,23.4167,63.57,69,3,8.9
241,Waingapu,ID,2022-04-28 03:01:37,-9.6567,120.2641,83.7,63,87,4.79
242,Kruisfontein,ZA,2022-04-28 03:01:38,-34.0033,24.7314,56.17,44,3,7.14
243,Kollam,IN,2022-04-28 03:01:38,8.8833,76.6,83.59,79,49,2.3
244,Macaubas,BR,2022-04-28 03:01:39,-13.0194,-42.6986,68.59,84,64,3.71
245,San Rafael,AR,2022-04-28 03:01:39,-34.6177,-68.3301,46.22,57,0,12.68
246,Bengkulu,ID,2022-04-28 03:01:40,-3.8004,102.2655,82.85,72,90,1.99
247,Nikolskoye,RU,2022-04-28 03:01:40,59.7035,30.7861,31.87,70,46,4.29
248,Port Hedland,AU,2022-04-28 03:01:41,-20.3167,118.5667,86.05,48,75,5.75
249,Ouro Preto Do Oeste,BR,2022-04-28 03:01:41,-10.7481,-62.2158,72.57,90,18,1.97
250,Abulug,PH,2022-04-28 03:01:41,18.4453,121.4533,88.52,61,2,8.12
251,Finschhafen,PG,2022-04-28 03:01:42,-6.6024,147.8681,86.77,66,57,8.61
252,Herat,AF,2022-04-28 03:01:43,34.5,62.0,71.91,33,41,2.01
253,Novara,IT,2022-04-28 02:59:25,45.5853,8.5778,57.06,79,0,6.91
254,Saskylakh,RU,2022-04-28 03:01:43,71.9167,114.0833,16.07,89,53,6.96
255,Lalganj,IN,2022-04-28 03:01:44,25.8667,85.1833,80.55,39,0,12.59
256,Port Keats,AU,2022-04-28 03:01:44,-14.25,129.55,91.44,51,100,3.53
257,Birao,CF,2022-04-28 03:01:44,10.2849,22.7882,78.76,56,99,6.29
258,Guarapari,BR,2022-04-28 03:01:45,-20.6667,-40.4975,74.89,87,1,5.26
259,Okhotsk,RU,2022-04-28 03:01:45,59.3833,143.3,33.85,54,100,15.95
260,Bolu,TR,2022-04-28 03:01:46,40.6667,31.5833,50.92,84,10,2.08
261,Udachnyy,RU,2022-04-28 03:01:46,66.4167,112.4,29.55,90,84,9.35
262,Mizoch,UA,2022-04-28 03:01:46,50.4,26.15,43.79,86,68,6.02
263,Nantucket,US,2022-04-28 03:01:47,41.2835,-70.0995,48.31,57,5,32.17
264,Codrington,AU,2022-04-28 03:01:47,-38.2667,141.9667,72.32,56,100,14.05
265,Dondaicha,IN,2022-04-28 03:01:48,21.3333,74.5667,96.44,15,0,8.59
266,Dilla,ET,2022-04-28 03:01:48,6.41,38.31,60.76,91,100,3.65
267,Nemuro,JP,2022-04-28 03:01:49,43.3236,145.575,42.67,62,65,14.63
268,Faya,SA,2022-04-28 03:01:49,18.3851,42.4509,62.46,46,0,4.03
269,Sohbatpur,PK,2022-04-28 03:01:50,28.5202,68.5434,94.28,19,96,6.22
270,Boulder City,US,2022-04-28 03:00:00,35.9786,-114.8325,81.34,9,0,9.22
271,Port Macquarie,AU,2022-04-28 03:01:55,-31.4333,152.9167,75.88,68,65,11.65
272,Anadyr,RU,2022-04-28 03:01:56,64.75,177.4833,32.5,86,75,20.13
273,Correntina,BR,2022-04-28 03:01:56,-13.3433,-44.6367,70.56,69,41,3.91
274,Awbari,LY,2022-04-28 03:01:57,26.5921,12.7805,74.95,13,0,10.02
275,Srednekolymsk,RU,2022-04-28 03:01:57,67.45,153.6833,26.01,80,100,5.97
276,Maceio,BR,2022-04-28 03:01:57,-9.6658,-35.7353,74.64,94,40,3.44
277,Cayenne,GF,2022-04-28 03:01:58,4.9333,-52.3333,82.09,1,100,3.0
278,Shubarshi,KZ,2022-04-28 03:01:58,48.5872,57.1869,59.11,51,100,10.74
279,Kuytun,RU,2022-04-28 03:01:59,54.3419,101.5036,42.03,37,3,5.12
280,Bhinga,IN,2022-04-28 03:01:59,27.7167,81.9333,93.99,13,0,11.48
281,Nuevitas,CU,2022-04-28 03:02:00,21.5453,-77.2644,74.55,67,47,10.74
282,Moerai,PF,2022-04-28 03:02:00,-22.4333,-151.3333,79.66,78,10,14.65
283,Nador,MA,2022-04-28 03:02:00,35.174,-2.9287,57.45,88,0,2.3
284,Guerrero Negro,MX,2022-04-28 03:02:01,27.9769,-114.0611,60.51,84,0,16.73
285,Kodinsk,RU,2022-04-28 03:02:01,58.6881,99.1844,41.63,67,100,6.31
286,Hvide Sande,DK,2022-04-28 03:02:02,56.0045,8.1294,38.08,70,11,17.25
287,Vao,NC,2022-04-28 03:02:03,-22.6667,167.4833,75.61,70,100,23.8
288,Disna,BY,2022-04-28 03:02:04,55.568,28.1971,30.65,62,77,3.38
289,Pangody,RU,2022-04-28 03:02:04,65.85,74.4859,22.48,82,84,4.07
290,Kaitangata,NZ,2022-04-28 03:02:05,-46.2817,169.8464,57.45,63,63,3.56
291,Zhangjiakou,CN,2022-04-28 03:02:05,40.81,114.8794,47.05,70,96,3.31
292,Avera,US,2022-04-28 03:02:06,33.194,-82.5271,56.71,41,0,6.53
